Order	Genus_Species	Red List Status	Domesticated	Climate Zone	Class of Consumption	Environment
CARNIVORA	Ursus_maritimus	VU	N	F	C	T
CHIROPTERA	Vicugna_pacos_huacaya	LC	N	TR	H	T
RODENTIA	Nannosciurus_melanotis	LC	N	TE	H	T
RODENTIA	Phyllotis_xanthopygus	LC	N	TR	O	T
						
		DD=Data Deficient	Y=Yes	TE=Temperate	H=Herbivore	T=Terrestrial
		LC=Least Concern	N=No	TE	C=Carnivore	M=Marine
		NT=Near Threatened		S=Subtropic	O=Omnivore	S=Semiaquatic
		VU=Vulnerable		F=Fridged		
		EN=Endangered				
		CR=Critically Endangered		TE		
